"route","audience_intent","cta_copy","position","target","solution","funnel_stage","target_type","resolved_url","strength"
"/insights/hybrid-inference-is-a-governance-decision/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/hybrid-inference-is-a-governance-decision/","Declared page intent; confirm against editorial brief.","Ready to move Review infrastructure Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/insights/hybrid-inference-is-a-governance-decision/","Declared page intent; confirm against editorial brief.","Still framing the question Compare scenarios Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/hybrid-inference/","Research or method path","early-stage","internal","https://hardmagic.com/methods/hybrid-inference/","strong"
"/insights/hybrid-inference-is-a-governance-decision/","Declared page intent; confirm against editorial brief.","Review infrastructure","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/insights/marketing-operations-for-small-expert-teams/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/marketing-operations-for-small-expert-teams/","Declared page intent; confirm against editorial brief.","Ready to move Review marketing operations Use the relevant intake or engagement route.","enterprise-cta-option","/contact/marketing-consulting/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/marketing-consulting/","strong"
"/insights/marketing-operations-for-small-expert-teams/","Declared page intent; confirm against editorial brief.","Still framing the question Use the 30/60/90 method Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/30-60-90-activation/","Research or method path","early-stage","internal","https://hardmagic.com/methods/30-60-90-activation/","strong"
"/insights/marketing-operations-for-small-expert-teams/","Declared page intent; confirm against editorial brief.","Use the 30/60/90 method ↗","text-link","/methods/30-60-90-activation/","Research or method path","early-stage","internal","https://hardmagic.com/methods/30-60-90-activation/","strong"
"/insights/marketing-operations-for-small-expert-teams/","Declared page intent; confirm against editorial brief.","Review marketing operations","button dark-button","/contact/marketing-consulting/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/marketing-consulting/","strong"
"/insights/provenance-without-killing-creative-flow/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/provenance-without-killing-creative-flow/","Declared page intent; confirm against editorial brief.","Ready to move Discuss provenance architecture Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/provenance-without-killing-creative-flow/","Declared page intent; confirm against editorial brief.","Review WireMark provenance ↗","text-link","/products/wiremark/privacy-provenance/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/wiremark/privacy-provenance/","strong"
"/insights/provenance-without-killing-creative-flow/","Declared page intent; confirm against editorial brief.","Still framing the question Review WireMark provenance Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/wiremark/privacy-provenance/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/wiremark/privacy-provenance/","strong"
"/insights/provenance-without-killing-creative-flow/","Declared page intent; confirm against editorial brief.","Discuss provenance architecture","button ghost","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/insights/static-websites-as-durable-media/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/static-websites-as-durable-media/","Declared page intent; confirm against editorial brief.","Explore Web Magic ↗","text-link","/products/web-magic/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/web-magic/","strong"
"/insights/static-websites-as-durable-media/","Declared page intent; confirm against editorial brief.","Ready to move Discuss a publication Use the relevant intake or engagement route.","enterprise-cta-option","/services/web-experience/","Specific service solution","early-stage","internal","https://hardmagic.com/services/web-experience/","strong"
"/insights/static-websites-as-durable-media/","Declared page intent; confirm against editorial brief.","Still framing the question Explore Web Magic Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/web-magic/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/web-magic/","strong"
"/insights/static-websites-as-durable-media/","Declared page intent; confirm against editorial brief.","Discuss a publication","button dark-button","/services/web-experience/","Specific service solution","primary","internal","https://hardmagic.com/services/web-experience/","strong"
"/insights/the-case-for-agent-readable-creative-operations/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/the-case-for-agent-readable-creative-operations/","Declared page intent; confirm against editorial brief.","Ready to move Design an operating contract Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/insights/the-case-for-agent-readable-creative-operations/","Declared page intent; confirm against editorial brief.","Still framing the question Use the human-agent method Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/human-agent-creative-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/human-agent-creative-loop/","strong"
"/insights/the-case-for-agent-readable-creative-operations/","Declared page intent; confirm against editorial brief.","Use the human-agent method ↗","text-link","/methods/human-agent-creative-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/human-agent-creative-loop/","strong"
"/insights/the-case-for-agent-readable-creative-operations/","Declared page intent; confirm against editorial brief.","Design an operating contract","button ghost","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/insights/the-cost-of-model-first-product-design/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/the-cost-of-model-first-product-design/","Declared page intent; confirm against editorial brief.","Explore WireMark ↗","text-link","/products/wiremark/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/wiremark/","strong"
"/insights/the-cost-of-model-first-product-design/","Declared page intent; confirm against editorial brief.","Ready to move Discuss a WireMark product evaluation Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/the-cost-of-model-first-product-design/","Declared page intent; confirm against editorial brief.","Still framing the question Explore WireMark Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/wiremark/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/wiremark/","strong"
"/insights/the-cost-of-model-first-product-design/","Declared page intent; confirm against editorial brief.","Discuss a WireMark product evaluation","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/insights/the-running-product-is-the-brief/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/the-running-product-is-the-brief/","Declared page intent; confirm against editorial brief.","Explore WireMark ↗","text-link","/products/wiremark/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/wiremark/","strong"
"/insights/the-running-product-is-the-brief/","Declared page intent; confirm against editorial brief.","Ready to move Discuss a WireMark evaluation Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/the-running-product-is-the-brief/","Declared page intent; confirm against editorial brief.","Still framing the question Explore WireMark Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/wiremark/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/wiremark/","strong"
"/insights/the-running-product-is-the-brief/","Declared page intent; confirm against editorial brief.","Discuss a WireMark evaluation","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/insights/what-a-modern-media-control-room-needs/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/what-a-modern-media-control-room-needs/","Declared page intent; confirm against editorial brief.","Inspect the Photo Curator workflow ↗","text-link","/products/photo-curator/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/photo-curator/","strong"
"/insights/what-a-modern-media-control-room-needs/","Declared page intent; confirm against editorial brief.","Ready to move Scope media operations Use the relevant intake or engagement route.","enterprise-cta-option","/engagements/managed-media-desk/","Specific engagement solution","early-stage","internal","https://hardmagic.com/engagements/managed-media-desk/","strong"
"/insights/what-a-modern-media-control-room-needs/","Declared page intent; confirm against editorial brief.","Still framing the question Inspect the Photo Curator workflow Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/photo-curator/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/photo-curator/","strong"
"/insights/what-a-modern-media-control-room-needs/","Declared page intent; confirm against editorial brief.","Scope media operations","button dark-button","/engagements/managed-media-desk/","Specific engagement solution","primary","internal","https://hardmagic.com/engagements/managed-media-desk/","strong"
"/insights/why-media-collections-lose-their-value/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/why-media-collections-lose-their-value/","Declared page intent; confirm against editorial brief.","Read the media asset-estate brief ↗","text-link","/briefs/intelligent-media-asset-estate/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/intelligent-media-asset-estate/","strong"
"/insights/why-media-collections-lose-their-value/","Declared page intent; confirm against editorial brief.","Ready to move Assess a collection Use the relevant intake or engagement route.","enterprise-cta-option","/contact/media-management/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/media-management/","strong"
"/insights/why-media-collections-lose-their-value/","Declared page intent; confirm against editorial brief.","Still framing the question Read the media asset-estate brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/intelligent-media-asset-estate/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/intelligent-media-asset-estate/","strong"
"/insights/why-media-collections-lose-their-value/","Declared page intent; confirm against editorial brief.","Assess a collection","button ghost","/contact/media-management/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/media-management/","strong"
"/methods/","Declared page intent; confirm against editorial brief.","Browse the insights ↗","text-link","/insights/","Research or method path","early-stage","internal","https://hardmagic.com/insights/","strong"
"/methods/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/methods/","Declared page intent; confirm against editorial brief.","Ready to move Apply a method Use the relevant intake or engagement route.","enterprise-cta-option","/engagements/","Specific engagement solution","early-stage","internal","https://hardmagic.com/engagements/","strong"
"/methods/","Declared page intent; confirm against editorial brief.","Still framing the question Browse the insights Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/","Research or method path","early-stage","internal","https://hardmagic.com/insights/","strong"
"/methods/","Declared page intent; confirm against editorial brief.","Apply a method","button ghost","/engagements/","Specific engagement solution","primary","internal","https://hardmagic.com/engagements/","strong"
"/methods/30-60-90-activation/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/methods/30-60-90-activation/","Declared page intent; confirm against editorial brief.","Read the GenAI operating brief ↗","text-link","/briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/methods/30-60-90-activation/","Declared page intent; confirm against editorial brief.","Ready to move Plan a 90-day GenAI activation Use the relevant intake or engagement route.","enterprise-cta-option","/engagements/genai-lab/","Specific engagement solution","early-stage","internal","https://hardmagic.com/engagements/genai-lab/","strong"
"/methods/30-60-90-activation/","Declared page intent; confirm against editorial brief.","Still framing the question Read the GenAI operating brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/methods/30-60-90-activation/","Declared page intent; confirm against editorial brief.","Plan a 90-day GenAI activation","button ghost","/engagements/genai-lab/","Specific engagement solution","primary","internal","https://hardmagic.com/engagements/genai-lab/","strong"
"/methods/accessibility-as-editorial/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/methods/accessibility-as-editorial/","Declared page intent; confirm against editorial brief.","Explore Web Accessibility ↗","text-link","/products/web-magic/accessibility/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/web-magic/accessibility/","strong"
"/methods/accessibility-as-editorial/","Declared page intent; confirm against editorial brief.","Ready to move Request an inclusive review Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/methods/accessibility-as-editorial/","Declared page intent; confirm against editorial brief.","Still framing the question Explore Web Accessibility Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/web-magic/accessibility/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/web-magic/accessibility/","strong"
"/methods/accessibility-as-editorial/","Declared page intent; confirm against editorial brief.","Request an inclusive review","button ghost","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/methods/brand-memory/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/methods/brand-memory/","Declared page intent; confirm against editorial brief.","Read the brand-memory essay ↗","text-link","/insights/brand-memory-in-generative-systems/","Research or method path","early-stage","internal","https://hardmagic.com/insights/brand-memory-in-generative-systems/","strong"
"/methods/brand-memory/","Declared page intent; confirm against editorial brief.","Ready to move Build brand memory Use the relevant intake or engagement route.","enterprise-cta-option","/services/brand-systems/","Specific service solution","early-stage","internal","https://hardmagic.com/services/brand-systems/","strong"
"/methods/brand-memory/","Declared page intent; confirm against editorial brief.","Still framing the question Read the brand-memory essay Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/brand-memory-in-generative-systems/","Research or method path","early-stage","internal","https://hardmagic.com/insights/brand-memory-in-generative-systems/","strong"
"/methods/brand-memory/","Declared page intent; confirm against editorial brief.","Build brand memory","button ghost","/services/brand-systems/","Specific service solution","primary","internal","https://hardmagic.com/services/brand-systems/","strong"
"/methods/collection-to-intelligence/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/methods/collection-to-intelligence/","Declared page intent; confirm against editorial brief.","Read the media asset-estate brief ↗","text-link","/briefs/intelligent-media-asset-estate/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/intelligent-media-asset-estate/","strong"
"/methods/collection-to-intelligence/","Declared page intent; confirm against editorial brief.","Ready to move Assess a source collection Use the relevant intake or engagement route.","enterprise-cta-option","/contact/media-management/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/media-management/","strong"
"/methods/collection-to-intelligence/","Declared page intent; confirm against editorial brief.","Still framing the question Read the media asset-estate brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/intelligent-media-asset-estate/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/intelligent-media-asset-estate/","strong"
"/methods/collection-to-intelligence/","Declared page intent; confirm against editorial brief.","Assess a source collection","button dark-button","/contact/media-management/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/media-management/","strong"
"/methods/evidence-loop/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/methods/evidence-loop/","Declared page intent; confirm against editorial brief.","Inspect Web Magic delivery ↗","text-link","/products/web-magic/delivery/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/web-magic/delivery/","strong"
"/methods/evidence-loop/","Declared page intent; confirm against editorial brief.","Ready to move Build an evidence loop Use the relevant intake or engagement route.","enterprise-cta-option","/engagements/transformation-sprint/","Specific engagement solution","early-stage","internal","https://hardmagic.com/engagements/transformation-sprint/","strong"
"/methods/evidence-loop/","Declared page intent; confirm against editorial brief.","Still framing the question Inspect Web Magic delivery Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/web-magic/delivery/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/web-magic/delivery/","strong"
"/methods/evidence-loop/","Declared page intent; confirm against editorial brief.","Build an evidence loop","button dark-button","/engagements/transformation-sprint/","Specific engagement solution","primary","internal","https://hardmagic.com/engagements/transformation-sprint/","strong"
"/methods/human-agent-creative-loop/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/methods/human-agent-creative-loop/","Declared page intent; confirm against editorial brief.","Explore agent skills ↗","text-link","/products/cli/agent-skills/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/cli/agent-skills/","strong"
"/methods/human-agent-creative-loop/","Declared page intent; confirm against editorial brief.","Ready to move Design an agent workflow Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/methods/human-agent-creative-loop/","Declared page intent; confirm against editorial brief.","Still framing the question Explore agent skills Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/cli/agent-skills/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/cli/agent-skills/","strong"
"/methods/human-agent-creative-loop/","Declared page intent; confirm against editorial brief.","Design an agent workflow","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/methods/hybrid-inference/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/methods/hybrid-inference/","Declared page intent; confirm against editorial brief.","Read the hybrid-infrastructure brief ↗","text-link","/briefs/hybrid-ai-media-infrastructure/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/hybrid-ai-media-infrastructure/","strong"
"/methods/hybrid-inference/","Declared page intent; confirm against editorial brief.","Ready to move Model an inference estate Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/methods/hybrid-inference/","Declared page intent; confirm against editorial brief.","Still framing the question Read the hybrid-infrastructure brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/hybrid-ai-media-infrastructure/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/hybrid-ai-media-infrastructure/","strong"
"/methods/hybrid-inference/","Declared page intent; confirm against editorial brief.","Model an inference estate","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/methods/intent-to-system/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/methods/intent-to-system/","Declared page intent; confirm against editorial brief.","Read the GenAI operating brief ↗","text-link","/briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/methods/intent-to-system/","Declared page intent; confirm against editorial brief.","Ready to move Run an intent workshop Use the relevant intake or engagement route.","enterprise-cta-option","/engagements/transformation-sprint/","Specific engagement solution","early-stage","internal","https://hardmagic.com/engagements/transformation-sprint/","strong"
"/methods/intent-to-system/","Declared page intent; confirm against editorial brief.","Still framing the question Read the GenAI operating brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/methods/intent-to-system/","Declared page intent; confirm against editorial brief.","Run an intent workshop","button dark-button","/engagements/transformation-sprint/","Specific engagement solution","primary","internal","https://hardmagic.com/engagements/transformation-sprint/","strong"
"/portfolio/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/portfolio/","Declared page intent; confirm against editorial brief.","See how this practice operates now","button ghost","products/","Product-qualified evaluation","primary","internal","https://hardmagic.com/products/","strong"
"/portfolio/airikai/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/portfolio/airikai/","Declared page intent; confirm against editorial brief.","HardMagic Studio","button ghost","products/studio/","Product-qualified evaluation","primary","internal","https://hardmagic.com/products/studio/","strong"
"/portfolio/fashionx/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/portfolio/fashionx/","Declared page intent; confirm against editorial brief.","HardMagic Studio","button ghost","products/studio/","Product-qualified evaluation","primary","internal","https://hardmagic.com/products/studio/","strong"
"/portfolio/focuspass/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/portfolio/focuspass/","Declared page intent; confirm against editorial brief.","WireMark","button ghost","products/wiremark/","Product-qualified evaluation","primary","internal","https://hardmagic.com/products/wiremark/","strong"
"/portfolio/pedadida/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/portfolio/pedadida/","Declared page intent; confirm against editorial brief.","HardMagic Agent (CLI)","button ghost","products/cli/","Product-qualified evaluation","primary","internal","https://hardmagic.com/products/cli/","strong"
"/portfolio/pranashama/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/portfolio/pranashama/","Declared page intent; confirm against editorial brief.","HardMagic Studio","button ghost","products/studio/","Product-qualified evaluation","primary","internal","https://hardmagic.com/products/studio/","strong"
"/portfolio/state-parks/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/portfolio/state-parks/","Declared page intent; confirm against editorial brief.","HardMagic Studio","button ghost","products/studio/","Product-qualified evaluation","primary","internal","https://hardmagic.com/products/studio/","strong"
"/portfolio/tao-cottage/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/portfolio/tao-cottage/","Declared page intent; confirm against editorial brief.","Web Magic","button ghost","products/web-magic/","Product-qualified evaluation","primary","internal","https://hardmagic.com/products/web-magic/","strong"
"/portfolio/taolo/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/portfolio/taolo/","Declared page intent; confirm against editorial brief.","HardMagic Studio","button ghost","products/studio/","Product-qualified evaluation","primary","internal","https://hardmagic.com/products/studio/","strong"
"/privacy/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/","Declared page intent; confirm against editorial brief.","Talk to HardMagic","button dark-button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/products/cli/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/cli/","Declared page intent; confirm against editorial brief.","Talk with us","button dark-button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/products/cli/agent-skills/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/cli/agent-skills/","Declared page intent; confirm against editorial brief.","Read the human-agent method ↗","text-link","/methods/human-agent-creative-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/human-agent-creative-loop/","strong"
"/products/cli/agent-skills/","Declared page intent; confirm against editorial brief.","Ready to move Discuss a skill integration Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/products/cli/agent-skills/","Declared page intent; confirm against editorial brief.","Still framing the question Read the human-agent method Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/human-agent-creative-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/human-agent-creative-loop/","strong"
"/products/cli/agent-skills/","Declared page intent; confirm against editorial brief.","Discuss a skill integration","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/products/cli/automation/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/cli/automation/","Declared page intent; confirm against editorial brief.","Ready to move Discuss CLI automation Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/products/cli/automation/","Declared page intent; confirm against editorial brief.","Still framing the question Use the evidence loop Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/evidence-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/evidence-loop/","strong"
"/products/cli/automation/","Declared page intent; confirm against editorial brief.","Use the evidence loop ↗","text-link","/methods/evidence-loop/","Research or method path","early-stage","internal","https://hardmagic.com/methods/evidence-loop/","strong"
"/products/cli/automation/","Declared page intent; confirm against editorial brief.","Discuss CLI automation","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/products/cli/quickstart/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/cli/quickstart/","Declared page intent; confirm against editorial brief.","Read the web-publishing control-plane brief ↗","text-link","/briefs/autonomous-web-publishing-control-plane/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/autonomous-web-publishing-control-plane/","strong"
"/products/cli/quickstart/","Declared page intent; confirm against editorial brief.","Ready to move Discuss a first CLI workflow Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/products/cli/quickstart/","Declared page intent; confirm against editorial brief.","Still framing the question Read the web-publishing control-plane brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/autonomous-web-publishing-control-plane/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/autonomous-web-publishing-control-plane/","strong"
"/products/cli/quickstart/","Declared page intent; confirm against editorial brief.","Discuss a first CLI workflow","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/products/cli/security/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/products/cli/security/","Declared page intent; confirm against editorial brief.","Read the web-publishing control-plane brief ↗","text-link","/briefs/autonomous-web-publishing-control-plane/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/autonomous-web-publishing-control-plane/","strong"
"/products/cli/security/","Declared page intent; confirm against editorial brief.","Ready to move Review enterprise CLI access Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
